Time	size	received	dropped
5	1000	8949	0
10	406	16722	0
15	976	25659	0
20	1000	34050	0
25	802	42218	0
30	737	50587	0
35	1000	59216	0
40	1000	67583	0
45	525	75504	0
50	1000	84346	0
55	1000	92713	0
60	1000	101079	0
65	1000	109446	0
70	1000	117840	0
75	1000	126207	0
80	1000	134579	0
85	1000	142958	0
90	1000	151334	0
95	1000	159710	0
100	1000	168089	0
105	1000	176468	0
110	1000	184846	0
115	1000	193224	0
120	1000	201602	0
125	1000	209980	0
130	1000	218358	0
135	1000	226734	0
140	1000	235111	0
145	1000	243490	0
150	1000	251867	0
155	1000	260243	0
160	1000	268622	0
165	1000	276992	0
170	1000	285359	0
175	1000	293725	0
180	1000	302190	0
185	1000	310556	0
190	1000	318924	0
195	1000	327505	0
200	1000	335928	0
