Time	size	received	dropped
5	259	11279	0
10	0	18293	0
15	0	27230	0
20	0	36604	0
25	0	45001	0
30	0	53373	0
35	0	62407	0
40	213	71972	0
45	0	79668	0
50	0	88580	0
55	0	97192	0
60	0	106364	0
65	0	114447	0
70	0	123219	0
75	0	131400	0
80	1	139871	0
85	0	148563	0
90	0	156936	0
95	0	164889	0
100	0	173682	0
105	0	181949	0
110	1	190404	0
115	0	198950	0
120	0	206725	0
125	0	215263	0
130	1	224125	0
135	0	233190	0
140	0	241245	0
145	0	249802	0
150	0	258580	0
155	0	266923	0
160	0	275108	0
165	0	283782	0
170	0	292282	0
175	0	300978	0
180	0	309575	0
185	0	317868	0
190	0	326113	0
195	0	334994	0
200	0	343546	0
