Time	size	received	dropped
5	0	690	0
10	0	786	0
15	0	856	0
20	0	965	0
25	0	1272	0
30	0	1470	0
35	0	1954	0
40	0	2282	0
45	0	2397	0
50	0	2802	0
55	0	3083	0
60	0	3214	0
65	0	3655	0
70	0	3659	0
75	0	3984	0
80	0	4229	0
85	0	4313	0
90	0	4754	0
95	0	4829	0
100	0	5278	0
105	0	5706	0
110	0	5893	0
115	0	6010	0
120	0	6415	0
125	0	6418	0
130	0	6709	0
135	0	6941	0
140	0	7009	0
145	0	7414	0
150	0	7466	0
155	0	7715	0
160	0	7988	0
165	0	8016	0
170	0	8348	0
175	0	8350	0
180	0	8684	0
185	0	9064	0
190	0	9451	0
195	0	9733	0
200	0	9735	0
