Time	size	received	dropped
5	0	709	0
10	0	1297	0
15	0	1807	0
20	0	2432	0
25	0	3106	0
30	0	3847	0
35	0	4361	0
40	0	5050	0
45	0	5339	0
50	0	5971	0
55	0	6805	0
60	0	7791	0
65	0	8903	0
70	0	9914	0
75	0	10275	0
80	0	10296	0
85	0	10315	0
90	0	10336	0
95	0	10356	0
100	0	10377	0
105	0	10398	0
110	0	10420	0
115	0	10897	0
120	0	11797	0
125	0	12827	0
130	0	13475	0
135	0	13728	0
140	0	14532	0
145	0	15365	0
150	0	16211	0
155	0	17151	0
160	0	17883	0
165	0	18614	0
170	0	19143	0
175	0	19574	0
180	0	20111	0
185	0	20426	0
190	0	20803	0
195	0	21410	0
200	0	22008	0
